Week,Sam R.,Mike M.,Andrew D.,Lee D.,Greg L.,Bryan C.,Garrett T.,Mike C.,Brad R.,Peter R.
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.724,1.22,1.101,1.39,1.341,1.333,1.099,1.194,1.324,1.129
2,1.352,1.087,1.128,1.336,1.509,1.307,1.05,1.234,1.211,1.218
3,1.318,1.212,1.129,1.319,1.451,1.389,1.118,1.27,1.12,1.3
