Week,Sam R.,Mike M.,Andrew D.,Lee D.,Greg L.,Bryan C.,Garrett T.,Mike C.,Brad R.,Peter R.
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.9,3.6,5.5,2.8,2.8,2.3,3.6,6.0,3.1,3.3
2,2.2,3.8,4.3,2.4,2.9,2.5,3.6,4.9,2.6,2.6
3,2.5,3.3,3.4,2.6,2.8,2.2,3.5,3.6,2.5,2.5
